team,home_reschedule,away_reschedule,reschedules
Atlanta Hawks,0.0,1.0,1.0
Boston Celtics,1.0,1.0,1.0
Brooklyn Nets,0.0,1.0,1.0
Charlotte Hornets,1.0,0.0,1.0
Chicago Bulls,1.0,1.0,1.0
Cleveland Cavaliers,1.0,1.0,1.0
Dallas Mavericks,1.0,1.0,1.0
Denver Nuggets,1.0,0.0,1.0
Detroit Pistons,1.0,1.0,1.0
Golden State Warriors,0.0,1.0,1.0
Houston Rockets,1.0,0.0,1.0
Indiana Pacers,1.0,1.0,1.0
Los Angeles Clippers,0.0,0.0,0.0
Los Angeles Lakers,0.0,0.0,0.0
Memphis Grizzlies,1.0,1.0,1.0
Miami Heat,0.0,1.0,1.0
Milwaukee Bucks,1.0,0.0,1.0
Minnesota Timberwolves,1.0,0.0,1.0
New Orleans Pelicans,1.0,1.0,1.0
New York Knicks,1.0,0.0,1.0
Oklahoma City Thunder,1.0,1.0,1.0
Orlando Magic,0.0,1.0,1.0
Philadelphia 76ers,0.0,1.0,1.0
Phoenix Suns,1.0,0.0,1.0
Portland Trail Blazers,1.0,0.0,1.0
Sacramento Kings,0.0,1.0,1.0
San Antonio Spurs,0.0,1.0,1.0
Toronto Raptors,1.0,0.0,1.0
Utah Jazz,0.0,1.0,1.0
Washington Wizards,1.0,1.0,1.0
