Team,Distance,Breaks
Colorado Avalanche,27540.819875241472,38
Edmonton Oilers,37665.17498195616,35
Philadelphia Flyers,7231.839678878979,33
Tampa Bay Lightning,30694.83186031162,35
Toronto Maple Leafs,33695.6432193567,31
Arizona Coyotes,21907.123722856984,41
Buffalo Sabres,11743.72440019193,37
Detroit Red Wings,21712.748522393245,37
Los Angeles Kings,21517.685648088198,39
New Jersey Devils,8958.63131616365,33
Nashville Predators,19373.66077603803,36
New York Rangers,6856.971798826951,35
Vegas Golden Knights,24596.4751475046,34
Winnipeg Jets,27515.87510232794,40
Ottawa Senators,32391.903687518905,39
Calgary Flames,30555.223421532566,36
Florida Panthers,24905.513590382856,42
Pittsburgh Penguins,10361.07914567455,39
Anaheim Ducks,23799.01445210313,30
New York Islanders,7631.303987389137,35
St. Louis Blues,42652.15835094642,37
Vancouver Canucks,34091.15356679446,41
Boston Bruins,9664.840380380403,39
Columbus Blue Jackets,19475.81633519862,37
Chicago Blackhawks,21162.54795704025,39
Dallas Stars,29635.352590816805,39
Minnesota Wild,33654.552597640875,40
Washington Capitals,9866.772678031144,37
Carolina Hurricanes,21185.545649097734,40
Montreal Canadiens,28897.6553406003,37
San Jose Sharks,25707.318974990736,41
all,706648.9587562754,1152
