Team,Max_games_1_home,Max_games_1_away,Max_games_1_all,Max_games_2_home,Max_games_2_away,Max_games_2_all,Max_games_3_home,Max_games_3_away,Max_games_3_all,Max_games_4_home,Max_games_4_away,Max_games_4_all,Max_games_5_home,Max_games_5_away,Max_games_5_all,Max_games_6_home,Max_games_6_away,Max_games_6_all,Max_games_7_home,Max_games_7_away,Max_games_7_all,Back2Backs_home,Back2Backs_away,Back2Backs_all
Colorado Avalanche,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,4,5,10
Edmonton Oilers,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,2,4,10
Philadelphia Flyers,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,6,4,12
Tampa Bay Lightning,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,4,3,9
Toronto Maple Leafs,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,2,3,8
Arizona Coyotes,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,6,3,9
Buffalo Sabres,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,4,5,9,4,14
Detroit Red Wings,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,4,9
Los Angeles Kings,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,4,5,10
New Jersey Devils,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,3,3,11
Nashville Predators,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,3,4,4,4,4,5,3,9
New York Rangers,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,1,3,7
Vegas Golden Knights,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,2,3,9
Winnipeg Jets,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,4,3,8
Ottawa Senators,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,4,10
Calgary Flames,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,3,4,10
Florida Panthers,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,4,5,10
Pittsburgh Penguins,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,4,4,9
Anaheim Ducks,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,3,8
New York Islanders,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,3,5,8
St. Louis Blues,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,4,7,12
Vancouver Canucks,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,3,6,11
Boston Bruins,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,2,5,10
Columbus Blue Jackets,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,3,5,9
Chicago Blackhawks,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,3,4,4,4,4,4,2,6
Dallas Stars,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,11
Minnesota Wild,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,6,5,11
Washington Capitals,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,10
Carolina Hurricanes,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,4,5,9
Montreal Canadiens,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,4,11
San Jose Sharks,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,6,10
